"","LOCATION","FREQUENCY","TIME","Value"
"561","IRL","A","1958",40.42975936
"562","IRL","A","1959",20.18026516
"563","IRL","A","1960",21.96302433
"564","IRL","A","1961",2.112902649
"565","IRL","A","1962",11.79539248
"566","IRL","A","1963",15.96254424
"567","IRL","A","1964",11.67764935
"568","IRL","A","1965",4.630973109
"569","IRL","A","1966",-8.600087827
"570","IRL","A","1967",1.906640368
"571","IRL","A","1968",27.44416873
"572","IRL","A","1969",-1.629672897
"573","IRL","A","1970",4.797814857
"574","IRL","A","1971",-2.160651217
"575","IRL","A","1972",20.84821342
"576","IRL","A","1973",19.46552082
"577","IRL","A","1974",-18.40778724
"578","IRL","A","1975",-13.03792075
"579","IRL","A","1976",30.99536426
"580","IRL","A","1977",18.40780274
"581","IRL","A","1978",28.27359981
"582","IRL","A","1979",-9.160652384
"583","IRL","A","1980",-4.360337817
"584","IRL","A","1981",14.08185069
"585","IRL","A","1982",-29.92498447
"586","IRL","A","1983",-16.68621301
"587","IRL","A","1984",-8.513110944
"588","IRL","A","1985",6.618002254
"589","IRL","A","1986",-1.396160558
"590","IRL","A","1987",-7.520422056
"591","IRL","A","1988",13.88822436
"592","IRL","A","1989",26.65298604
"593","IRL","A","1990",6.426138321
"594","IRL","A","1991",-17.84584033
"595","IRL","A","1992",-0.980549516
"596","IRL","A","1993",-10.41688157
"597","IRL","A","1994",27.9329517
"598","IRL","A","1995",6.37367724
"599","IRL","A","1996",32.15641243
"600","IRL","A","1997",15.09699725
"601","IRL","A","1998",10.09226075
"602","IRL","A","1999",22.94155436
"603","IRL","A","2000",32.26065922
"604","IRL","A","2001",-28.57073099
"605","IRL","A","2002",-6.477614537
"606","IRL","A","2003",-4.979233811
"607","IRL","A","2004",4.689073515
"608","IRL","A","2005",11.1398358
"609","IRL","A","2006",4.256700306
"610","IRL","A","2007",4.208007841
"611","IRL","A","2008",-18.96721511
"612","IRL","A","2009",-62.83744111
"613","IRL","A","2010",55.98728689
"614","IRL","A","2011",2.384962371
"615","IRL","A","2012",-12.2808632
"616","IRL","A","2013",-6.436214855
"617","IRL","A","2014",29.4514212
"618","IRL","A","2015",31.12677429
"619","IRL","A","2016",17.1918091
"620","IRL","A","2017",-10.48819497
"621","IRL","A","2018",-4.634578299
"622","IRL","A","2019",-6.480847165
