junction,Time,car,lgv,hgv 2x,hgv 3x,hgv 4x,hgv 5x,dbus,obus,taxi,mc,pc,vtotal,ptotal
49AE,07:00,2,0,0,0,0,0,0,0,0,0,0,2,2
49AE,07:15,3,0,1,0,0,0,0,0,0,0,0,4,5.3
49AE,07:30,4,1,0,0,0,0,0,0,1,0,0,6,6
49AE,07:45,3,3,0,0,0,0,0,0,0,0,0,6,6
49AE,Hour,12,4,1,0,0,0,0,0,1,0,0,18,19.3
49AE,08:00,8,2,0,0,0,0,0,0,0,0,0,10,10
49AE,08:15,4,1,0,0,0,0,0,0,1,0,0,6,6
49AE,08:30,4,0,0,0,0,0,0,0,2,0,0,6,6
49AE,08:45,8,2,0,0,0,0,0,0,3,0,0,13,13
49AE,Hour,24,5,0,0,0,0,0,0,6,0,0,35,35
49AE,09:00,6,0,0,0,0,0,0,0,5,0,0,11,11
49AE,09:15,2,2,0,0,0,0,0,0,6,0,0,10,10
49AE,09:30,2,2,0,0,0,0,0,0,4,0,0,8,8
49AE,09:45,1,0,0,0,0,0,0,0,3,0,0,4,4
49AE,Hour,11,4,0,0,0,0,0,0,18,0,0,33,33
49AE,3 Hour,47,13,1,0,0,0,0,0,25,0,0,86,87.3
49AE,10:00,6,2,0,0,0,0,0,0,6,0,0,14,14
49AE,10:15,5,0,0,0,0,0,0,0,3,0,0,8,8
49AE,10:30,4,2,0,0,0,0,0,0,1,0,0,7,7
49AE,10:45,6,4,0,0,0,0,0,0,1,0,0,11,11
49AE,Hour,21,8,0,0,0,0,0,0,11,0,0,40,40
49AE,11:00,6,4,1,0,0,0,0,0,0,0,2,13,12.7
49AE,11:15,6,1,0,0,0,0,0,0,4,0,0,11,11
49AE,11:30,5,2,0,0,0,0,0,0,1,0,0,8,8
49AE,11:45,8,0,0,0,0,0,0,0,3,0,0,11,11
49AE,Hour,25,7,1,0,0,0,0,0,8,0,2,43,42.7
49AE,12:00,3,0,0,0,0,0,0,0,2,0,0,5,5
49AE,12:15,8,3,0,0,0,0,0,0,2,0,2,15,13.4
49AE,12:30,8,2,0,0,0,0,0,0,4,0,0,14,14
49AE,12:45,11,1,0,0,0,0,0,0,3,0,3,18,15.6
49AE,Hour,30,6,0,0,0,0,0,0,11,0,5,52,48
49AE,3 Hour,76,21,1,0,0,0,0,0,30,0,7,135,130.7
49AE,13:00,8,2,0,0,0,0,0,1,5,0,0,16,17
49AE,13:15,10,1,0,0,0,0,0,0,2,0,0,13,13
49AE,13:30,5,0,0,0,0,0,0,0,1,0,1,7,6.2
49AE,13:45,5,0,0,0,0,0,0,0,0,0,0,5,5
49AE,Hour,28,3,0,0,0,0,0,1,8,0,1,41,41.2
49AE,14:00,6,2,0,0,0,0,0,0,2,0,0,10,10
49AE,14:15,4,1,0,0,0,0,0,0,1,0,0,6,6
49AE,14:30,4,1,0,0,0,0,0,0,4,0,0,9,9
49AE,14:45,3,3,0,0,0,0,0,0,2,0,0,8,8
49AE,Hour,17,7,0,0,0,0,0,0,9,0,0,33,33
49AE,15:00,2,3,0,0,0,0,0,0,3,0,0,8,8
49AE,15:15,3,2,0,0,0,0,0,0,1,0,0,6,6
49AE,15:30,5,1,0,0,0,0,0,0,2,0,0,8,8
49AE,15:45,6,1,0,0,0,0,0,0,1,1,0,9,8.4
49AE,Hour,16,7,0,0,0,0,0,0,7,1,0,31,30.4
49AE,3 Hour,61,17,0,0,0,0,0,1,24,1,1,105,104.6
49AE,16:00,7,0,0,0,0,0,0,0,3,0,0,10,10
49AE,16:15,10,1,0,0,0,0,0,0,3,1,0,15,14.4
49AE,16:30,5,1,0,0,0,0,0,0,1,0,2,9,7.4
49AE,16:45,14,0,0,0,0,0,0,0,4,1,2,21,18.8
49AE,Hour,36,2,0,0,0,0,0,0,11,2,4,55,50.6
49AE,17:00,8,0,0,0,0,0,0,0,2,0,1,11,10.2
49AE,17:15,7,1,0,0,0,0,0,0,2,0,3,13,10.6
49AE,17:30,13,0,0,0,0,0,0,0,1,0,0,14,14
49AE,17:45,12,0,0,0,0,0,0,0,1,0,2,15,13.4
49AE,Hour,40,1,0,0,0,0,0,0,6,0,6,53,48.2
49AE,18:00,12,0,0,0,0,0,0,0,1,0,1,14,13.2
49AE,18:15,13,0,0,0,0,0,0,0,6,0,1,20,19.2
49AE,18:30,17,1,0,0,0,0,0,0,1,0,0,19,19
49AE,18:45,10,0,0,0,0,0,0,0,3,0,3,16,13.6
49AE,Hour,52,1,0,0,0,0,0,0,11,0,5,69,65
49AE,3 Hour,128,4,0,0,0,0,0,0,28,2,15,177,163.8
49AE,Total,312,55,2,0,0,0,0,1,107,3,23,503,486.4
,,,,,,,,,,,,,,
